"gene","median_expr","log_rank_p","risk_ratio_high_vs_low","survival_effect"
"DNM3-IT1",1,0.024835,1.379,"reduce survival"
"ACTN4",9798,0.024844,1.374,"reduce survival"
"C7orf43",1004,0.024851,1.374,"reduce survival"
"ANAPC1",465,0.024862,1.374,"reduce survival"
"CBLN4",27,0.024867,0.729,"extend survival"
"RP11-646I6.6",13,0.02488,1.372,"reduce survival"
"MIR320A",1,0.024882,1.378,"reduce survival"
"HDAC7",2145,0.024906,1.373,"reduce survival"
"RP11-283I3.6",269,0.024909,1.373,"reduce survival"
"RP11-814P5.1",1,0.024914,0.727,"extend survival"
"RP5-1160K1.1",1,0.024937,0.723,"extend survival"
"DDOST",3313,0.02494,1.372,"reduce survival"
"PHF14",1069,0.02494,1.372,"reduce survival"
"UBR2",958,0.024977,1.374,"reduce survival"
"RP11-554D14.6",4,0.02498,0.722,"extend survival"
"MLLT4",1571,0.025008,1.374,"reduce survival"
"RP11-34P1.2",5,0.025038,0.728,"extend survival"
"RP11-567M16.3",2,0.025062,1.377,"reduce survival"
"RP1-256G22.2",1,0.02512,1.386,"reduce survival"
"HDDC2",1499,0.025144,0.728,"extend survival"
"NCK2",1695,0.025162,1.371,"reduce survival"
"FAM160A1",5,0.025172,1.371,"reduce survival"
"EMD",738,0.025193,1.371,"reduce survival"
"RP11-428K3.1",4,0.025198,0.726,"extend survival"
"CCDC109B",732,0.025204,1.372,"reduce survival"
"FAM86HP",78,0.025213,1.373,"reduce survival"
"RP11-531F16.4",6,0.025225,1.373,"reduce survival"
"ZNF330",740,0.025229,1.372,"reduce survival"
"LA16c-425C2.1",2,0.025244,1.384,"reduce survival"
"ARHGDIA",5710,0.025265,1.37,"reduce survival"
"TRIP10",872,0.025268,1.371,"reduce survival"
"CTD-2541M15.4",28,0.025269,1.373,"reduce survival"
"RP11-711G10.1",1,0.025273,0.716,"extend survival"
"AC006262.6",13,0.025274,0.729,"extend survival"
"MAPK7",1120,0.025285,1.369,"reduce survival"
"TCEA3",369,0.025285,1.371,"reduce survival"
"NME1",783,0.025321,0.728,"extend survival"
"RP11-50C13.1",40,0.025323,1.373,"reduce survival"
"FLOT2",4098,0.025332,1.369,"reduce survival"
"CTB-134F13.1",2,0.02534,1.374,"reduce survival"
"FBRS",3579,0.025347,1.372,"reduce survival"
"MSR1",581,0.025363,1.373,"reduce survival"
"ARIH1",922,0.025371,1.371,"reduce survival"
"AFAP1L1",380,0.025373,1.372,"reduce survival"
"IDH1",2202,0.025373,1.371,"reduce survival"
"SH3GL1P1",34,0.02538,1.373,"reduce survival"
"RP11-169D4.2",3,0.025405,0.725,"extend survival"
"NOG",168,0.025417,0.728,"extend survival"
"CTD-2341M24.1",62,0.025429,1.373,"reduce survival"
"AC007966.1",17,0.025433,1.373,"reduce survival"
"DPY19L1",1826,0.025465,1.372,"reduce survival"
"CTA-253N17.1",11,0.02548,1.371,"reduce survival"
"DISP2",207,0.025496,0.728,"extend survival"
"AC011891.5",7,0.025529,1.372,"reduce survival"
"PRR12",1523,0.025533,1.372,"reduce survival"
"C7orf57",24,0.025543,1.372,"reduce survival"
"FEZF1-AS1",21,0.025556,1.372,"reduce survival"
"VIMP",1304,0.02557,1.371,"reduce survival"
"MYBPH",59,0.025571,1.371,"reduce survival"
"RP11-423G4.7",7,0.025571,0.729,"extend survival"
"RP4-575N6.2",2,0.025578,0.722,"extend survival"
"FMNL2",4016,0.025583,1.373,"reduce survival"
"CPQ",635,0.025605,1.371,"reduce survival"
"AC004980.10",6,0.02562,1.372,"reduce survival"
"PLBD1",109,0.025635,1.372,"reduce survival"
"DLGAP3",275,0.025639,0.729,"extend survival"
"RP11-240L7.4",2,0.025687,1.374,"reduce survival"
"RP11-393I23.4",2,0.025697,1.372,"reduce survival"
"VPS54",693,0.02572,1.371,"reduce survival"
"MIRLET7DHG",4,0.025735,1.371,"reduce survival"
"RP11-496H1.1",42,0.025741,1.371,"reduce survival"
"PLA1A",17,0.025749,0.73,"extend survival"
"ASB9P1",2,0.025759,0.722,"extend survival"
"PTGES3P1",65,0.025775,1.371,"reduce survival"
"CTD-2555O16.2",14,0.02578,1.371,"reduce survival"
"YBEY",522,0.025798,0.729,"extend survival"
"TCTN2",275,0.025802,1.371,"reduce survival"
"HOXD12",2,0.025805,1.369,"reduce survival"
"GRB14",99,0.025828,1.37,"reduce survival"
"RP3-467N11.2",2,0.025841,1.374,"reduce survival"
"NKX2-5",50,0.025846,1.371,"reduce survival"
"RPL24P8",34,0.025853,0.729,"extend survival"
"FCF1P1",1,0.025863,1.371,"reduce survival"
"RP11-163N6.2",51,0.025866,1.368,"reduce survival"
"SLC25A19",182,0.02587,1.37,"reduce survival"
"PIPOX",964,0.025874,1.371,"reduce survival"
"LRTM2",19,0.025882,0.729,"extend survival"
"PRC1",379,0.02589,1.368,"reduce survival"
"CTC-412M14.5",4,0.025939,1.371,"reduce survival"
"SUPT6H",4918,0.025972,1.37,"reduce survival"
"FAIM",442,0.025975,1.369,"reduce survival"
"BZW1",3025,0.025982,1.37,"reduce survival"
"USP38",735,0.026007,1.37,"reduce survival"
"NCKAP5L",2046,0.026012,1.37,"reduce survival"
"CTD-3216D2.5",5,0.026015,1.369,"reduce survival"
"OSR2",24,0.026036,1.369,"reduce survival"
"CTD-2514K5.4",1,0.026051,1.373,"reduce survival"
"OACYLP",14,0.026061,1.37,"reduce survival"
"CTSB",22116,0.026095,1.369,"reduce survival"
"ALDOB",19,0.026116,1.37,"reduce survival"
"GTF2IRD2B",31,0.026118,1.37,"reduce survival"
"RP11-703I16.3",2,0.02612,0.723,"extend survival"
"GMEB2",799,0.026171,1.368,"reduce survival"
"AC063976.7",3,0.026197,1.37,"reduce survival"
"AC016629.3",2,0.026216,1.37,"reduce survival"
"HPD",30,0.026248,1.369,"reduce survival"
"CEP164",1526,0.026254,1.371,"reduce survival"
"ZNF295-AS1",6,0.026273,1.369,"reduce survival"
"RP11-138H11.1",1,0.026274,1.384,"reduce survival"
"FUT4",140,0.026283,1.371,"reduce survival"
"SELT",2786,0.026299,1.37,"reduce survival"
"SEPN1",4002,0.026305,1.368,"reduce survival"
"CTC-360G5.9",34,0.026332,1.37,"reduce survival"
"SLX4",536,0.026342,1.369,"reduce survival"
"TRIM69",1771,0.026358,1.369,"reduce survival"
"RP11-807H17.1",2,0.026399,0.725,"extend survival"
"CTB-33O18.2",4,0.026419,1.367,"reduce survival"
"ZNF840",8,0.026435,1.369,"reduce survival"
"L3HYPDH",447,0.026464,1.37,"reduce survival"
"RBBP6",2033,0.026464,1.37,"reduce survival"
"PLEKHS1",18,0.026491,1.367,"reduce survival"
"VAMP3",2519,0.02653,1.369,"reduce survival"
"C1GALT1C1",396,0.026533,1.368,"reduce survival"
"TCTEX1D4",19,0.026575,1.369,"reduce survival"
"SHC1P2",1,0.026601,1.398,"reduce survival"
"LINC00092",177,0.026626,1.366,"reduce survival"
"FAM27E2",8,0.02667,1.368,"reduce survival"
"VGLL3",20,0.026687,1.369,"reduce survival"
"LBX2-AS1",75,0.02671,1.368,"reduce survival"
"CARS-AS1",2,0.026717,1.372,"reduce survival"
"PLCE1",733,0.026733,1.368,"reduce survival"
"CATSPERG",125,0.026734,1.369,"reduce survival"
"LRRFIP1P1",11,0.026742,1.369,"reduce survival"
"DPRXP4",4,0.026752,1.368,"reduce survival"
"GLE1",933,0.026756,1.366,"reduce survival"
"APCDD1L",16,0.026769,1.368,"reduce survival"
"DNM1P47",5,0.026769,1.368,"reduce survival"
"LRIG2",639,0.026806,1.369,"reduce survival"
"CEP112",174,0.02683,1.368,"reduce survival"
"SCN9A",45,0.026858,1.367,"reduce survival"
"ORMDL2",206,0.026878,1.365,"reduce survival"
"CLCC1",395,0.026885,1.369,"reduce survival"
"RP11-483F11.7",10,0.026887,0.728,"extend survival"
"PREX1",7039,0.026906,1.369,"reduce survival"
"RP11-382J24.2",1,0.026913,1.367,"reduce survival"
"DNALI1",1163,0.02692,1.367,"reduce survival"
"TVP23C",87,0.026933,1.368,"reduce survival"
"TIGD4",36,0.026938,1.369,"reduce survival"
"RP11-304L19.2",3,0.026954,1.368,"reduce survival"
"RNU5F-1",2,0.026976,1.368,"reduce survival"
"RP11-460N20.4",8,0.026987,1.367,"reduce survival"
"RNU6-384P",1,0.026994,0.729,"extend survival"
"DNAH11",59,0.026997,1.368,"reduce survival"
"ASUN",589,0.026999,1.367,"reduce survival"
"ADAMTS1",632,0.027002,1.367,"reduce survival"
"CTD-2651B20.4",3,0.027009,1.368,"reduce survival"
"NACAD",2097,0.027024,1.365,"reduce survival"
"ZNF18",298,0.027028,1.368,"reduce survival"
"RPL23P2",39,0.027034,1.366,"reduce survival"
"LGALS3",2618,0.027038,1.367,"reduce survival"
"RP11-293M10.6",39,0.027043,0.731,"extend survival"
"NANP",161,0.027045,1.365,"reduce survival"
"PDIA5",315,0.027048,1.367,"reduce survival"
"RPL9P9",6,0.027073,0.731,"extend survival"
"SLC39A9",1170,0.027079,1.368,"reduce survival"
"CTD-2325P2.3",5,0.027083,1.367,"reduce survival"
"CD53",768,0.027105,1.368,"reduce survival"
"TMIGD2",63,0.027134,0.731,"extend survival"
"CSMD2",755,0.027161,1.368,"reduce survival"
"ZNF337",76,0.027176,1.368,"reduce survival"
"NRGN",844,0.02718,0.731,"extend survival"
"HK3",256,0.027198,1.367,"reduce survival"
"PBX2",539,0.027208,1.369,"reduce survival"
"ZNF662",336,0.027214,1.368,"reduce survival"
"MDC1",249,0.027239,1.367,"reduce survival"
"VN2R19P",8,0.027261,1.366,"reduce survival"
"CTD-2262B20.1",5,0.027273,1.366,"reduce survival"
"CSNK1D",6498,0.027279,1.365,"reduce survival"
"BMP8B",247,0.027324,1.367,"reduce survival"
"NUPL2",1133,0.027326,1.365,"reduce survival"
"FURIN",2366,0.027337,1.365,"reduce survival"
"PARVG",794,0.027373,1.367,"reduce survival"
"ZC3H12A",143,0.027398,1.366,"reduce survival"
"RP11-20O24.1",1,0.027424,0.724,"extend survival"
"PTCRA",19,0.027427,1.366,"reduce survival"
"ZBTB34",295,0.027431,1.367,"reduce survival"
"LYSMD2",467,0.027464,0.731,"extend survival"
"DOCK4",1338,0.027472,1.367,"reduce survival"
"GPBP1L1",1500,0.027506,1.367,"reduce survival"
"RP11-506M12.1",18,0.027527,1.367,"reduce survival"
"PCNXL4",1109,0.027539,1.368,"reduce survival"
"PXT1",2,0.027557,1.364,"reduce survival"
"TUBD1",238,0.027567,1.366,"reduce survival"
"STXBP3",1442,0.02757,1.367,"reduce survival"
"ZNF847P",2,0.027582,1.366,"reduce survival"
"KCNK3",131,0.027586,0.732,"extend survival"
"RP11-826N14.2",4,0.0276,0.731,"extend survival"
"TFB1M",184,0.027624,1.364,"reduce survival"
"ACTR3",3478,0.027655,1.366,"reduce survival"
"TNXA",9,0.027661,1.366,"reduce survival"
"IL17REL",4,0.027699,1.367,"reduce survival"
"CCDC114",42,0.027736,1.365,"reduce survival"
"ATF6B",1653,0.027764,1.366,"reduce survival"
"S100A11",2079,0.027766,1.365,"reduce survival"
"ZNF878",7,0.027792,1.365,"reduce survival"
"LINC00682",2,0.027809,1.363,"reduce survival"
"AKT1",2581,0.027832,1.365,"reduce survival"
"HMGB1P14",3,0.027883,1.365,"reduce survival"
"GAS1",857,0.027888,1.365,"reduce survival"
"RP11-489G11.3",1,0.027895,1.377,"reduce survival"
"TFCP2",1119,0.027919,1.365,"reduce survival"
"TMTC3",494,0.027922,1.365,"reduce survival"
"INMT",37,0.027935,1.366,"reduce survival"
"RP11-57K17.1",2,0.028008,1.367,"reduce survival"
"EYA3",538,0.028031,1.366,"reduce survival"
"FGF2",499,0.028052,1.365,"reduce survival"
"FBXL12",620,0.028076,1.365,"reduce survival"
"AC002398.5",22,0.028093,1.363,"reduce survival"
"RP11-367F23.2",1,0.028117,1.38,"reduce survival"
"RSRC2",1819,0.028135,1.365,"reduce survival"
"NR2F2-AS1",15,0.028138,1.364,"reduce survival"
"ITPKC",1034,0.028156,1.365,"reduce survival"
"ARL9",44,0.028161,1.364,"reduce survival"
"LGR5",51,0.028171,1.363,"reduce survival"
"AC009501.4",44,0.028179,1.365,"reduce survival"
"CHAT",1,0.028193,1.365,"reduce survival"
"TMEM59",4338,0.028198,1.364,"reduce survival"
"RP11-944L7.4",11,0.028203,1.364,"reduce survival"
"RP11-342M1.3",10,0.02821,1.364,"reduce survival"
"AC009302.2",3,0.028275,1.363,"reduce survival"
"MATN2",2030,0.028278,1.363,"reduce survival"
"FBXO17",545,0.028296,1.364,"reduce survival"
"C2orf72",1976,0.028311,1.363,"reduce survival"
"RP11-4M23.2",1,0.028312,1.399,"reduce survival"
"SMTNL2",10,0.028314,0.733,"extend survival"
"SNORD101",2,0.028315,1.367,"reduce survival"
"VLDLR",401,0.028326,1.363,"reduce survival"
"FKBP11",357,0.028339,1.363,"reduce survival"
"CDK17",1087,0.028348,1.364,"reduce survival"
"RP11-861E21.1",14,0.028372,1.364,"reduce survival"
"CREB3L1",161,0.028379,1.363,"reduce survival"
"AC006115.3",68,0.028398,1.363,"reduce survival"
"PARPBP",57,0.028429,1.361,"reduce survival"
"TP73-AS1",1131,0.028437,1.364,"reduce survival"
"SAMD9",322,0.028447,1.364,"reduce survival"
"CCDC144CP",44,0.028457,1.365,"reduce survival"
"MUS81",1506,0.028462,1.363,"reduce survival"
"AC007128.1",1,0.028464,1.364,"reduce survival"
"KBTBD2",1467,0.028477,1.364,"reduce survival"
"FSCN1",11156,0.028525,1.363,"reduce survival"
"GPRC5A",79,0.028531,1.364,"reduce survival"
"NIT1",1021,0.028565,1.362,"reduce survival"
"RP11-173M1.5",13,0.028584,1.362,"reduce survival"
"AC018766.5",81,0.028589,1.363,"reduce survival"
"RP11-90P13.1",68,0.028607,1.363,"reduce survival"
"RP11-318C2.1",2,0.028624,1.362,"reduce survival"
"RP11-352D13.6",1,0.02863,0.729,"extend survival"
"SPATA20",2714,0.028639,1.362,"reduce survival"
"RP11-500B12.1",1,0.028644,0.731,"extend survival"
"ZNF451",807,0.02869,1.364,"reduce survival"
"CTD-3195I5.3",35,0.028723,1.363,"reduce survival"
"SS18L1",927,0.028727,1.363,"reduce survival"
"RP11-61L19.1",2,0.028748,1.382,"reduce survival"
"E2F7",104,0.028754,1.363,"reduce survival"
"RNF135",520,0.028807,1.362,"reduce survival"
"SRSF11",4375,0.028821,1.364,"reduce survival"
"LINC00163",1,0.028825,1.362,"reduce survival"
"FICD",326,0.028836,1.363,"reduce survival"
"TMEM248",3645,0.028858,1.36,"reduce survival"
"C9orf3",780,0.028896,1.362,"reduce survival"
"RP11-58H15.1",3,0.028902,1.363,"reduce survival"
"RP11-527J8.1",13,0.028921,1.362,"reduce survival"
"TPSD1",2,0.028958,0.733,"extend survival"
"AP000266.7",2,0.028989,1.379,"reduce survival"
"AC002480.4",3,0.028992,1.362,"reduce survival"
"UBQLNL",15,0.029009,1.361,"reduce survival"
"SNORD119",1,0.029028,1.373,"reduce survival"
"RP5-968J1.1",23,0.029034,0.734,"extend survival"
"RP11-1026M7.2",2,0.029037,0.732,"extend survival"
"FYCO1",526,0.029052,1.363,"reduce survival"
"DCAF15",1399,0.029072,1.361,"reduce survival"
"EMR1",41,0.029105,1.361,"reduce survival"
"PITPNC1",1629,0.029114,1.361,"reduce survival"
"RP6-191P20.4",2,0.029116,0.732,"extend survival"
"CCDC146",242,0.029135,1.363,"reduce survival"
"RP11-480I12.4",1,0.029137,1.361,"reduce survival"
"YTHDF2",1679,0.02915,1.361,"reduce survival"
"ZNF32-AS1",11,0.029157,1.361,"reduce survival"
"FOXJ1",419,0.029165,1.362,"reduce survival"
"CTD-2555O16.3",6,0.029183,0.733,"extend survival"
"PARP9",1126,0.029183,1.362,"reduce survival"
"RP11-12M5.4",2,0.029227,1.364,"reduce survival"
"TMEM229A",93,0.029239,0.735,"extend survival"
"CTD-2616J11.2",1,0.029274,1.38,"reduce survival"
"LY96",193,0.029282,1.361,"reduce survival"
"SGOL2",188,0.029315,1.36,"reduce survival"
"RP5-833A20.1",1,0.029317,1.363,"reduce survival"
"WSB1",6527,0.02932,1.363,"reduce survival"
"AL078585.1",4,0.029342,1.36,"reduce survival"
"NUAK2",138,0.029362,1.361,"reduce survival"
"GLYATL1P2",2,0.029363,0.735,"extend survival"
"UMODL1",9,0.029363,1.362,"reduce survival"
"HPSE",136,0.029404,1.362,"reduce survival"
"IQGAP2",340,0.029409,1.361,"reduce survival"
"TAGLN2P1",6,0.029443,1.36,"reduce survival"
"RP11-56A10.1",1,0.029456,0.722,"extend survival"
"RP11-162J8.3",7,0.029467,1.36,"reduce survival"
"TUG1",1501,0.029471,1.362,"reduce survival"
"CLDN16",1,0.029476,0.734,"extend survival"
"ZFP37",212,0.029494,1.36,"reduce survival"
"GDF15",276,0.029498,1.361,"reduce survival"
"AES",4664,0.0295,1.359,"reduce survival"
"B3GNT7",216,0.029508,1.361,"reduce survival"
"NOL11",831,0.029552,1.36,"reduce survival"
"RHBDF2",855,0.029592,1.361,"reduce survival"
"IK",2747,0.029594,1.36,"reduce survival"
"ZNF461",260,0.029601,1.361,"reduce survival"
"E2F8",45,0.029665,1.359,"reduce survival"
"RP11-350F4.2",292,0.029673,1.361,"reduce survival"
"IFNGR2",472,0.029688,1.361,"reduce survival"
"C5orf45",1151,0.029702,1.361,"reduce survival"
"ARHGEF1",3944,0.02971,1.361,"reduce survival"
"STX16",2911,0.029727,1.362,"reduce survival"
"PHF13",778,0.02973,1.359,"reduce survival"
"RP5-1042I8.7",58,0.029735,1.361,"reduce survival"
"ATRIP",254,0.029737,1.359,"reduce survival"
"RP11-10B2.1",15,0.029738,0.734,"extend survival"
"C19orf55",355,0.029777,1.359,"reduce survival"
"RP11-254F7.4",2,0.029787,1.362,"reduce survival"
"DNAJC5G",2,0.029789,0.731,"extend survival"
"STT3A",2361,0.029792,1.36,"reduce survival"
"DPAGT1",735,0.029796,1.36,"reduce survival"
"LENG8",1915,0.029803,1.36,"reduce survival"
"AC074011.2",3,0.029829,1.361,"reduce survival"
"ANKRD27",584,0.029845,1.361,"reduce survival"
"RP11-169D4.1",7,0.029871,0.734,"extend survival"
"CTD-3105H18.9",2,0.029917,1.36,"reduce survival"
"AC009166.5",7,0.029938,1.359,"reduce survival"
"PHF10",1360,0.029954,1.36,"reduce survival"
"KCNV1",4,0.029998,0.735,"extend survival"
"BSCL2",27,0.030025,1.36,"reduce survival"
"CCDC41",265,0.030045,1.36,"reduce survival"
"RP11-300M24.1",5,0.030055,1.357,"reduce survival"
"RP1-286D6.5",24,0.030056,1.36,"reduce survival"
"ST8SIA5",198,0.03006,1.358,"reduce survival"
"PI4K2B",386,0.030087,1.36,"reduce survival"
"AC104653.1",6,0.030119,1.36,"reduce survival"
"NPNT",382,0.030125,1.359,"reduce survival"
"STARD3NL",1688,0.030136,1.356,"reduce survival"
"BORA",76,0.030142,1.359,"reduce survival"
"HYKK",29,0.030151,0.737,"extend survival"
"RP11-3B12.4",2,0.030157,1.36,"reduce survival"
"MSI1",1286,0.030167,1.357,"reduce survival"
"EFNA1",894,0.030171,1.359,"reduce survival"
"MTRNR2L9",5,0.03019,0.732,"extend survival"
"MYOF",648,0.030191,1.36,"reduce survival"
"C19orf59",3,0.030195,1.359,"reduce survival"
"PSMC3IP",155,0.030205,1.358,"reduce survival"
"GRPEL2-AS1",2,0.030228,1.377,"reduce survival"
"BACE2",596,0.03026,1.359,"reduce survival"
"RP11-496D24.2",13,0.030282,1.358,"reduce survival"
"FAM153B",11,0.030293,0.736,"extend survival"
"PAQR5",34,0.030345,0.736,"extend survival"
"TCP1",2595,0.030345,1.359,"reduce survival"
"AC026150.5",2,0.030443,1.359,"reduce survival"
"RP11-712B9.2",50,0.030444,1.358,"reduce survival"
"RP11-245P10.6",2,0.03045,1.364,"reduce survival"
"IPO7P2",1,0.030458,1.359,"reduce survival"
"RP11-331F4.4",9,0.030467,0.736,"extend survival"
"FAM26E",69,0.030468,1.358,"reduce survival"
"SH3GLB1",2710,0.030479,1.359,"reduce survival"
"CTD-2555A7.2",9,0.03048,0.734,"extend survival"
"RFX4",1201,0.03048,1.358,"reduce survival"
"RP11-483I13.5",14,0.030485,1.357,"reduce survival"
"PTAR1",1380,0.030488,1.36,"reduce survival"
"CCL5",32,0.030493,1.358,"reduce survival"
"AC010731.2",2,0.030545,1.359,"reduce survival"
"RP11-64P14.7",2,0.03055,0.734,"extend survival"
"MFN1",950,0.030583,1.359,"reduce survival"
"ADPGK",1210,0.030586,1.359,"reduce survival"
"C2orf15",9,0.030607,1.358,"reduce survival"
"RALGAPB",1485,0.030609,1.359,"reduce survival"
"RPL34P33",2,0.030646,0.735,"extend survival"
"RP11-398C13.6",45,0.030653,0.737,"extend survival"
"FAF1",1193,0.030664,1.356,"reduce survival"
"RAB3GAP2",1072,0.030681,1.359,"reduce survival"
"ZGPAT",266,0.03069,1.358,"reduce survival"
"XRN1",651,0.030699,1.359,"reduce survival"
"KRT3",1,0.03076,0.732,"extend survival"
"RP11-80I15.4",1,0.030777,1.376,"reduce survival"
"RP4-539M6.21",5,0.030779,0.735,"extend survival"
"STARD10",855,0.030783,0.736,"extend survival"
"WWTR1-AS1",13,0.030823,1.357,"reduce survival"
"SGK2",115,0.030828,1.358,"reduce survival"
"UNC5C",200,0.030841,1.357,"reduce survival"
"AL031666.2",4,0.030847,1.358,"reduce survival"
"FTSJ2",987,0.03085,1.356,"reduce survival"
"SLC23A3",25,0.030853,1.357,"reduce survival"
"BTN3A2",1159,0.030871,1.357,"reduce survival"
"KSR2",32,0.030878,0.737,"extend survival"
"NELFCD",2789,0.030888,1.355,"reduce survival"
"HEXB",1654,0.030895,1.357,"reduce survival"
"METTL25",107,0.030899,1.359,"reduce survival"
"SLC26A4-AS1",11,0.030926,0.737,"extend survival"
"SLC33A1",932,0.030946,1.358,"reduce survival"
"RAD54L",204,0.030948,1.356,"reduce survival"
"GPX1P1",761,0.030955,1.356,"reduce survival"
"C2orf57",1,0.030985,1.359,"reduce survival"
"C6orf195",9,0.030997,1.353,"reduce survival"
"RP11-613D13.5",2,0.030997,1.36,"reduce survival"
"AC005702.1",22,0.031009,1.358,"reduce survival"
"RNU6-45P",5,0.031063,1.357,"reduce survival"
"ZNF789",649,0.031079,1.358,"reduce survival"
"SLC38A6",296,0.031091,1.357,"reduce survival"
"ZFC3H1",678,0.031099,1.358,"reduce survival"
"ATG16L1",796,0.031114,1.357,"reduce survival"
"C15orf52",833,0.03116,1.357,"reduce survival"
"RP11-326L17.1",2,0.031177,1.358,"reduce survival"
"RP11-352M15.1",2,0.031188,1.359,"reduce survival"
"TAF12",509,0.031197,1.356,"reduce survival"
"CTC-524C5.2",210,0.031209,1.357,"reduce survival"
"RP11-369E15.3",1,0.031232,0.734,"extend survival"
"RP11-119J18.1",4,0.031233,0.731,"extend survival"
"ANKRD42",365,0.031237,1.357,"reduce survival"
"CTD-3214K23.1",5,0.031306,1.355,"reduce survival"
"THOC7-AS1",1,0.03132,1.37,"reduce survival"
"AC073283.7",2,0.031322,1.366,"reduce survival"
"RERG",52,0.03134,0.737,"extend survival"
"BIRC3",125,0.031372,1.357,"reduce survival"
"SMS",2557,0.031406,1.356,"reduce survival"
"SPRED2",1099,0.031416,1.356,"reduce survival"
"STK33",466,0.031449,1.357,"reduce survival"
"CENPE",150,0.031453,1.355,"reduce survival"
"POGZ",2526,0.031489,1.357,"reduce survival"
"BCLAF1",2612,0.031493,1.356,"reduce survival"
"POLQ",122,0.031497,1.354,"reduce survival"
"HBP1",446,0.031515,1.357,"reduce survival"
"YY2",28,0.031518,1.356,"reduce survival"
"BDH2",361,0.031579,1.356,"reduce survival"
"LINC00499",1,0.031594,0.733,"extend survival"
"AC006026.13",3,0.0316,1.355,"reduce survival"
"ERCC3",1906,0.031614,1.355,"reduce survival"
"CTC-338M12.4",48,0.031644,1.356,"reduce survival"
"TMEM232",87,0.031684,0.738,"extend survival"
"RP11-848G14.5",5,0.031692,1.356,"reduce survival"
"POFUT1",1399,0.031696,1.354,"reduce survival"
"TGIF1",963,0.031707,1.355,"reduce survival"
"COPB1",1932,0.031724,1.356,"reduce survival"
"F2RL2",31,0.031756,1.355,"reduce survival"
"RP11-698N11.2",68,0.031761,1.355,"reduce survival"
"ABHD14A",405,0.03178,0.738,"extend survival"
"TPTE2P1",33,0.031791,0.738,"extend survival"
"TMED5",1553,0.031805,1.354,"reduce survival"
"ZBTB40",1005,0.031827,1.355,"reduce survival"
"SPR",436,0.031831,0.738,"extend survival"
"RP11-219B17.1",5,0.031834,1.356,"reduce survival"
"EMC10",4498,0.031864,1.351,"reduce survival"
"CDH4",945,0.031882,1.354,"reduce survival"
"HERC2P10",4,0.031908,1.356,"reduce survival"
"TMEM155",25,0.031916,0.738,"extend survival"
"PIK3R5",275,0.03193,1.356,"reduce survival"
"NMNAT1",265,0.03195,1.355,"reduce survival"
"PSTPIP2",73,0.031951,1.356,"reduce survival"
"TAX1BP1",2708,0.031962,1.353,"reduce survival"
"UBE2V2P3",1,0.032006,1.355,"reduce survival"
"BCL2L15",26,0.032036,1.355,"reduce survival"
"DNAH12",22,0.032046,1.356,"reduce survival"
"SPAG4",166,0.032048,1.354,"reduce survival"
"RASL12",702,0.032062,1.354,"reduce survival"
"EPHX1",2985,0.032092,0.738,"extend survival"
"TNFRSF1A",3235,0.03211,1.354,"reduce survival"
"YEATS2",1618,0.032128,1.355,"reduce survival"
"LIMS1",1402,0.03215,1.355,"reduce survival"
"NEUROD2",61,0.032157,0.738,"extend survival"
"RP11-251G23.5",54,0.032169,1.354,"reduce survival"
"OR2C1",2,0.032189,1.357,"reduce survival"
"PCMTD1",419,0.032189,1.355,"reduce survival"
"CTA-747E2.10",1,0.032196,1.368,"reduce survival"
"COPZ1",3317,0.032222,1.35,"reduce survival"
"SLC17A8",11,0.032222,0.738,"extend survival"
"RP11-1094H24.4",13,0.032237,1.353,"reduce survival"
"RP13-539J13.1",1,0.032262,1.351,"reduce survival"
"BST1",86,0.032269,1.354,"reduce survival"
"SLC17A7",193,0.03227,0.738,"extend survival"
"KCNN2",189,0.032289,0.738,"extend survival"
"AC005391.2",1,0.032318,1.366,"reduce survival"
"SNAPC2",1072,0.032326,1.352,"reduce survival"
"VTI1BP2",3,0.032331,1.355,"reduce survival"
"RP11-203M5.6",1,0.032359,1.354,"reduce survival"
"JKAMP",689,0.032361,1.354,"reduce survival"
"DNAH5",69,0.032375,1.352,"reduce survival"
"RP11-143A12.3",32,0.032375,1.354,"reduce survival"
"ZNF443",112,0.032392,1.354,"reduce survival"
"CHMP6",592,0.032395,1.352,"reduce survival"
"RNU6-50P",3,0.0324,1.354,"reduce survival"
"NBPF9",123,0.032401,1.354,"reduce survival"
"RP11-1042B17.5",1,0.032457,1.386,"reduce survival"
"ARHGAP1",3173,0.032458,1.354,"reduce survival"
"DCDC2B",26,0.032483,1.354,"reduce survival"
"RP11-256I23.3",7,0.032484,1.353,"reduce survival"
"RP11-520P18.1",2,0.032497,1.355,"reduce survival"
"CLEC2L",32,0.032506,0.738,"extend survival"
"C1orf87",8,0.03253,1.354,"reduce survival"
"HIST1H2AH",2,0.032535,1.353,"reduce survival"
"SLC5A1",2,0.032539,0.733,"extend survival"
"ZC3H8",479,0.032548,1.353,"reduce survival"
"KRT18P63",2,0.032559,1.361,"reduce survival"
"CDH18",18,0.032561,0.738,"extend survival"
"SLC35F5",698,0.032608,1.354,"reduce survival"
"ZNF700",182,0.032612,1.355,"reduce survival"
"MS4A6A",907,0.032626,1.354,"reduce survival"
"SUMF1",717,0.032751,1.352,"reduce survival"
"MRPL9",528,0.032774,1.351,"reduce survival"
"PBDC1",255,0.032796,1.352,"reduce survival"
