"gene","median_expr","log_rank_p","risk_ratio_high_vs_low","survival_effect"
"LINC00365",2,0.003075,1.517,"reduce survival"
"SMARCAL1",660,0.003101,1.514,"reduce survival"
"RP4-639F20.1",350,0.003117,1.514,"reduce survival"
"RP11-386I14.4",3,0.003119,1.516,"reduce survival"
"FCER1G",970,0.003126,1.518,"reduce survival"
"CROCCP2",1205,0.00313,1.517,"reduce survival"
"FAM83D",112,0.003139,1.512,"reduce survival"
"AC091969.1",1,0.00314,0.643,"extend survival"
"ANXA1",3479,0.003156,1.517,"reduce survival"
"CDKN2B",168,0.003163,0.66,"extend survival"
"CTB-50L17.14",2,0.003165,1.517,"reduce survival"
"MAP3K14",551,0.003167,1.516,"reduce survival"
"SNUPN",173,0.003176,1.515,"reduce survival"
"ZBTB20-AS1",4,0.003176,1.515,"reduce survival"
"ARHGEF40",3524,0.003185,1.515,"reduce survival"
"ATP1A1OS",30,0.003192,1.517,"reduce survival"
"FBXW9",302,0.003208,1.513,"reduce survival"
"SOCS3",1582,0.003229,1.514,"reduce survival"
"HOXC-AS1",5,0.003241,1.512,"reduce survival"
"CCKBR",14,0.003259,0.66,"extend survival"
"ZSCAN5A",123,0.003259,1.514,"reduce survival"
"RP1-122O8.7",1,0.003267,1.564,"reduce survival"
"RP11-647K16.1",9,0.00328,1.514,"reduce survival"
"FAM129B",4350,0.003286,1.512,"reduce survival"
"RP11-83A24.2",110,0.003297,1.514,"reduce survival"
"AC027612.1",3,0.003333,1.512,"reduce survival"
"ANXA2P2",44,0.003356,1.512,"reduce survival"
"CRYM",59,0.003364,0.661,"extend survival"
"CTD-2643K12.3",1,0.003367,1.541,"reduce survival"
"PRPF3",1076,0.003392,1.513,"reduce survival"
"MARK2P8",2,0.003401,1.513,"reduce survival"
"RP1-127C7.6",6,0.003402,1.508,"reduce survival"
"FAM90A25P",10,0.00342,1.51,"reduce survival"
"RPL17",36,0.003435,1.512,"reduce survival"
"C7orf31",127,0.003441,1.511,"reduce survival"
"RP1-249I4.2",8,0.003446,1.509,"reduce survival"
"RPL23AP7",179,0.003446,1.508,"reduce survival"
"PROM1",213,0.003448,1.51,"reduce survival"
"CD44",5799,0.003451,1.511,"reduce survival"
"MARVELD1",563,0.00346,1.509,"reduce survival"
"DENND1A",1318,0.003463,1.506,"reduce survival"
"NUFIP2",2175,0.003463,1.51,"reduce survival"
"ADAM32",83,0.00348,1.51,"reduce survival"
"RNU2-51P",1,0.003483,1.512,"reduce survival"
"RP11-713M15.2",5,0.003484,1.507,"reduce survival"
"C4A",773,0.003495,1.511,"reduce survival"
"VWA5B2",186,0.003505,0.663,"extend survival"
"RP11-196G18.22",1,0.003513,1.508,"reduce survival"
"RP11-80I15.1",5,0.003563,1.508,"reduce survival"
"FERMT2",1735,0.003569,1.511,"reduce survival"
"FAM92B",5,0.003582,1.507,"reduce survival"
"LIPI",1,0.003606,1.508,"reduce survival"
"ANAPC4",984,0.003616,1.508,"reduce survival"
"PRICKLE3",56,0.003616,1.508,"reduce survival"
"PBX3",567,0.003635,1.506,"reduce survival"
"IGSF10",10,0.003644,1.507,"reduce survival"
"ASB6",803,0.003651,1.505,"reduce survival"
"AKAP8L",2158,0.003652,1.505,"reduce survival"
"CTC-453G23.8",3,0.003656,1.507,"reduce survival"
"EHBP1L1",1176,0.00366,1.506,"reduce survival"
"EPHA2",337,0.003671,1.506,"reduce survival"
"BTBD19",396,0.003675,1.508,"reduce survival"
"ZYX",5941,0.003693,1.505,"reduce survival"
"FGFR1",2616,0.00371,1.506,"reduce survival"
"RP11-181E10.3",3,0.003719,1.503,"reduce survival"
"VIM",31118,0.003726,1.505,"reduce survival"
"RP11-348P10.2",108,0.003804,1.502,"reduce survival"
"TUBA1C",542,0.003804,1.504,"reduce survival"
"PYROXD2",251,0.003805,1.504,"reduce survival"
"RP11-363E6.3",28,0.003835,1.504,"reduce survival"
"KLF6",2210,0.003836,1.505,"reduce survival"
"DCLK2",6466,0.003839,1.503,"reduce survival"
"ANAPC7",1619,0.003841,1.503,"reduce survival"
"FAS",264,0.003842,1.505,"reduce survival"
"LINC00346",14,0.003871,1.501,"reduce survival"
"AC084082.3",1,0.003889,1.535,"reduce survival"
"HAND2-AS1",10,0.003917,1.501,"reduce survival"
"ACPL2",938,0.003925,1.504,"reduce survival"
"C1orf85",447,0.003955,1.5,"reduce survival"
"CYP7A1",1,0.003964,1.5,"reduce survival"
"RRN3P2",33,0.003966,1.498,"reduce survival"
"HARBI1",121,0.003992,1.498,"reduce survival"
"MMP19",88,0.003992,1.502,"reduce survival"
"ANGPTL3",1,0.003999,1.501,"reduce survival"
"THSD1",324,0.004019,1.499,"reduce survival"
"AC006539.1",1,0.004028,1.511,"reduce survival"
"PODNL1",136,0.004034,1.498,"reduce survival"
"SLC25A24",254,0.004059,1.5,"reduce survival"
"HOXA2",12,0.00407,1.498,"reduce survival"
"CTB-1I21.1",1,0.004071,0.655,"extend survival"
"CHI3L1",17410,0.004075,1.5,"reduce survival"
"RP11-34A14.3",1,0.004092,1.53,"reduce survival"
"ZC3HAV1L",99,0.004094,1.499,"reduce survival"
"DMTF1",1801,0.004101,1.502,"reduce survival"
"AC010327.1",2,0.004112,1.508,"reduce survival"
"DNAJB5",1319,0.004116,1.494,"reduce survival"
"PMS2P1",371,0.004131,1.495,"reduce survival"
"HAR1A",14,0.004133,0.667,"extend survival"
"COL5A2",2044,0.004139,1.499,"reduce survival"
"PRDX3P2",2,0.004141,1.498,"reduce survival"
"OR2AE1",1,0.004155,1.514,"reduce survival"
"EMP1",2322,0.00416,1.5,"reduce survival"
"MARK2P9",2,0.004168,1.497,"reduce survival"
"ASPN",51,0.004183,1.497,"reduce survival"
"CCDC18",101,0.004195,1.497,"reduce survival"
"MRGBP",758,0.004213,1.494,"reduce survival"
"ITPRIPL1",93,0.004223,1.495,"reduce survival"
"RAD54B",82,0.004228,1.495,"reduce survival"
"ANTXR2",537,0.004232,1.497,"reduce survival"
"HMGN2P5",75,0.004232,1.494,"reduce survival"
"AC006001.1",1,0.004257,1.518,"reduce survival"
"AL592494.5",5,0.004261,1.495,"reduce survival"
